id,Hardness
10407,3.5022051720480785
10408,4.859374239147543
10409,5.2800079912429645
10410,5.280283562550495
10411,5.096704613644686
10412,4.613596359432318
10413,4.375831423440205
10414,5.56259812998522
10415,4.342570030241768
10416,4.540993486841632
10417,4.246763116399306
10418,4.5071607548176935
10419,5.386684114430289
10420,4.524198003399571
10421,5.226490186775871
10422,4.880962464252237
10423,5.293920150207994
10424,4.969301694672049
10425,5.075999638475292
10426,4.966389240407018
10427,3.492394852199869
10428,5.000610845930059
10429,4.824524281519419
10430,3.9350491323359686
10431,3.8512357423430155
10432,4.980880516253027
10433,5.74475243000639
10434,4.684803119401871
10435,5.42514002180018
10436,5.208093543907774
10437,5.34056367027669
10438,5.353955571109053
10439,5.3406174946947935
10440,4.386274441739923
10441,4.0265383472944
10442,3.887856072479275
10443,2.139270817273323
10444,4.673410000763902
10445,4.916305879027238
10446,4.2031133789022075
10447,5.281752023538972
10448,5.255639632514315
10449,5.1431471693882305
10450,5.259891364013965
10451,4.909221737899738
10452,4.316155004702141
10453,5.392732029989649
10454,5.365533001553379
10455,3.4085856595669872
10456,3.708385664084945
10457,2.5865900418862657
10458,5.422357524891657
10459,4.899276879177082
10460,4.348077268627158
10461,5.167652417093392
10462,5.1751710482305135
10463,5.388384028137751
10464,5.339765106846178
10465,4.062868912260629
10466,5.17666911188966
10467,5.399741357351454
10468,2.3528228326672673
10469,5.25682662296752
10470,4.572034445322026
10471,5.312047127216584
10472,1.4418908767864136
10473,5.209710257088656
10474,4.8734786235704926
10475,5.31594327506178
10476,4.698027940199217
10477,5.316980630774292
10478,4.651116454186676
10479,4.508524203358193
10480,4.171534831517937
10481,3.9419950260061936
10482,5.238543681306472
10483,5.262133350189734
10484,1.2813024310497467
10485,4.330112597743921
10486,5.111233634174939
10487,2.7994284687610076
10488,5.112931194885625
10489,4.27153859191223
10490,5.071319519835296
10491,5.0650023759506855
10492,5.493341717023775
10493,2.7027019157853704
10494,4.428168186135913
10495,4.126389590435986
10496,4.35363852407584
10497,5.139921331991277
10498,5.037111489068316
10499,5.292584017810299
10500,4.619862442921319
10501,2.6024808571595632
10502,5.183819333998072
10503,4.727909851262851
10504,5.235050475389204
10505,4.846671628192219
10506,4.090261728091367
10507,5.403715839846
10508,4.434092929130399
10509,3.530312761837853
10510,4.4453952215947155
10511,4.229293918938319
10512,5.194252118326198
10513,5.610004746187809
10514,4.130916406503796
10515,2.4558440172015623
10516,4.6893665987644795
10517,5.489429241048418
10518,4.789327970983546
10519,5.2412591448514885
10520,4.870653499309087
10521,5.106199720094526
10522,4.846823499227495
10523,4.611266224782764
10524,4.201325693506003
10525,4.656269310144886
10526,3.1842518271108586
10527,4.93867539725012
10528,5.16715880816265
10529,4.822990563862943
10530,2.53013710916158
10531,5.318720618190346
10532,5.227867996240747
10533,4.94943642245315
10534,5.388935194407239
10535,5.2747006778665195
10536,5.327373235952302
10537,4.854007344902714
10538,5.346327136705971
10539,5.130127989030326
10540,3.467005579221682
